country_name,indicator_name,sex,age_group,age_categories,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Afghanistan,Unemployment rate by sex and age,Male,25+,Adults,6.463,6.879,7.301,7.728,7.833,7.961,8.732,9.199,11.357,12.327,13.087
Albania,Unemployment rate by sex and age,Male,25+,Adults,16.316,13.874,13.311,11.972,10.201,9.43,10.826,10.717,9.882,9.476,9.324
Algeria,Unemployment rate by sex and age,Male,25+,Adults,6.491,7.15,6.042,7.369,7.56,7.726,9.19,8.995,8.053,7.784,7.615
Angola,Unemployment rate by sex and age,Male,25+,Adults,8.104,8.691,9.277,9.814,10.292,10.675,10.801,10.272,9.179,9.041,8.866
Argentina,Unemployment rate by sex and age,Male,25+,Adults,4.671,4.871,5.224,5.389,6.119,6.84,8.48,6.048,4.457,4.621,4.657
Armenia,Unemployment rate by sex and age,Male,25+,Adults,11.94,12.393,12.851,13.303,13.753,12.634,13.839,11.867,10.165,9.746,9.609
Australia,Unemployment rate by sex and age,Male,25+,Adults,4.448,4.469,4.098,3.989,3.85,3.785,5.014,3.897,2.829,2.756,2.86
Austria,Unemployment rate by sex and age,Male,25+,Adults,5.147,5.389,5.631,5.299,4.503,4.049,4.58,5.838,4.51,4.845,5.297
Azerbaijan,Unemployment rate by sex and age,Male,25+,Adults,2.872,2.976,3.08,3.136,3.169,3.382,5.121,4.019,3.783,3.728,3.744
Bahamas,Unemployment rate by sex and age,Male,25+,Adults,10.061,8.713,8.878,6.461,7.432,7.394,9.942,9.042,7.715,7.231,7.132
Bahrain,Unemployment rate by sex and age,Male,25+,Adults,0.205,0.214,0.237,0.245,0.252,0.269,0.706,0.522,0.379,0.348,0.322
Bangladesh,Unemployment rate by sex and age,Male,25+,Adults,1.515,1.528,1.544,1.677,1.684,1.692,2.38,2.334,1.638,1.647,1.676
Barbados,Unemployment rate by sex and age,Male,25+,Adults,9.329,8.275,5.737,6.256,5.918,6.772,8.128,7.927,6.96,6.497,6.203
Belarus,Unemployment rate by sex and age,Male,25+,Adults,6.898,6.924,6.935,6.839,5.297,4.418,3.959,4.168,3.671,3.527,3.448
Belgium,Unemployment rate by sex and age,Male,25+,Adults,7.697,7.77,6.928,6.059,5.471,4.863,4.948,5.5,4.801,5.16,4.99
Belize,Unemployment rate by sex and age,Male,25+,Adults,2.499,3.684,2.409,3.157,3.549,3.831,4.887,4.808,3.838,3.561,3.479
Benin,Unemployment rate by sex and age,Male,25+,Adults,1.088,1.12,1.182,1.121,0.883,0.799,1.059,1.188,0.889,0.846,0.818
Bhutan,Unemployment rate by sex and age,Male,25+,Adults,1.22,1.097,1.17,1.26,1.361,1.535,2.801,2.478,2.641,2.772,2.855
Bolivia,Unemployment rate by sex and age,Male,25+,Adults,0.913,1.844,2.402,2.735,2.653,2.681,4.336,3.888,2.509,2.849,2.885
Bosnia and Herz.,Unemployment rate by sex and age,Male,25+,Adults,21.256,21.65,19.105,15.987,15.054,11.685,12.304,10.803,9.259,8.603,8.559
Botswana,Unemployment rate by sex and age,Male,25+,Adults,12.367,13.025,13.669,14.247,14.46,15.123,15.89,16.832,18.294,17.951,17.602
Brazil,Unemployment rate by sex and age,Male,25+,Adults,3.886,5.138,7.158,8.15,7.714,7.228,8.836,7.937,5.425,4.804,4.599
Brunei,Unemployment rate by sex and age,Male,25+,Adults,3.39,4.16,4.934,5.707,4.363,3.89,3.997,2.727,2.218,2.227,2.143
Bulgaria,Unemployment rate by sex and age,Male,25+,Adults,11.512,9.032,7.555,5.936,5.296,4.299,4.994,4.984,4.133,3.786,3.512
Burkina Faso,Unemployment rate by sex and age,Male,25+,Adults,3.089,3.344,3.482,3.536,3.548,3.57,4.021,4.272,3.915,3.868,3.789
Burundi,Unemployment rate by sex and age,Male,25+,Adults,1.435,1.38,1.221,1.077,0.934,0.794,0.793,0.918,0.638,0.609,0.57
Cabo Verde,Unemployment rate by sex and age,Male,25+,Adults,7.929,8.085,8.171,8.285,10.393,10.452,12.911,12.536,11.015,10.731,10.612
Cambodia,Unemployment rate by sex and age,Male,25+,Adults,0.559,0.269,0.464,0.059,0.048,0.036,0.069,0.303,0.099,0.095,0.086
Cameroon,Unemployment rate by sex and age,Male,25+,Adults,2.227,2.216,2.236,2.294,2.342,2.376,2.686,2.827,2.469,2.407,2.372
Canada,Unemployment rate by sex and age,Male,25+,Adults,6.236,6.324,6.627,5.906,5.165,5.097,8.072,6.643,4.525,4.686,5.269
